angle,662,1173,1332
0,0.015,0.030,0.033
10,0.011,0.021,0.024
20,0.086,0.127,0.146
30,0.294,0.356,0.397
40,0.661,0.700,0.734
50,1.054,1.057,1.057
60,1.154,1.140,1.137
70,1.186,1.152,1.138
80,1.151,1.114,1.097
90,1.000,1.000,1.000
100,1.020,1.040,1.047
110,1.074,1.093,1.103
120,1.113,1.092,1.102
130,1.139,1.122,1.113
140,1.146,1.152,1.140
150,1.113,1.118,1.104
160,1.113,1.096,1.099
170,1.091,1.076,1.083
180,1.076,1.066,1.078
-180,1.076,1.066,1.078
-170,1.102,1.091,1.093
-160,1.122,1.100,1.102
-150,1.128,1.105,1.093
-140,1.144,1.112,1.123
-130,1.140,1.117,1.095
-120,1.146,1.127,1.098
-110,1.068,1.068,1.045
-100,1.013,1.025,1.016
-90,1.004,1.018,1.021
-80,1.150,1.137,1.132
-70,1.184,1.167,1.164
-60,1.158,1.140,1.138
-50,1.090,1.068,1.064
-40,0.595,0.620,0.631
-30,0.332,0.430,0.430
-20,0.055,0.081,0.096
-10,0.009,0.018,0.019
