energy_keV,field_efficiency_m2
10,5.50129E-09
11.22018454,2.88553E-07
12.58925412,4.81878E-06
14.12537545,3.55112E-05
15.84893192,0.000146367
17.7827941,0.000397029
19.95262315,0.000803336
22.38721139,0.00131657
25.11886432,0.001862377
28.18382931,0.002373449
31.6227766,0.002811046
33.164,0.00269554
33.164,0.002698792
35.48133892,0.002509993
39.81071706,0.002801304
44.66835922,0.003015877
50.11872336,0.003227431
56.23413252,0.00341077
63.09573445,0.003562051
70.79457844,0.00368852
79.43282347,0.003788875
89,0.003867423
100,0.003925025
112.2018454,0.003967222
125.8925412,0.003991551
141.2537545,0.004000729
158.4893192,0.003993145
177.827941,0.003969163
199.5262315,0.003925289
223.8721139,0.003856247
251.1886432,0.00375596
281.8382931,0.003619634
316.227766,0.003446087
354.8133892,0.003242691
398.1071706,0.003021761
446.6835922,0.002791816
501.1872336,0.002568349
562.3413252,0.002350052
630.9573445,0.002147662
707.9457844,0.001957893
794.3282347,0.001785694
891,0.001626634
1000,0.001482571
1122.018454,0.00135047
1258.925412,0.001231358
1412.537545,0.001116695
1584.893192,0.001011833
1778.27941,0.000917017
1995.262315,0.000828435
2238.721139,0.000746854
2511.886432,0.000672573
2818.382931,0.00060493
3162.27766,0.000544458
3548.133892,0.000488446
3981.071706,0.000438438
4466.835922,0.000392416
5011.872336,0.00035092
5623.413252,0.000313959
6309.573445,0.000279409
7079.457844,0.000247794
7943.282347,0.000218768
8913,0.000190209
10000,0.000164309
